batch_number,Type,NOX,Location,KIND_OF_HM_SET_ID
35952,2-S,82733360000.0,Brown,Right
35952,2-S,80400690000.0,Brown,Right
35952,2-S,84026760000.0,Brown,Right
35952,2-S,81075170000.0,Brown,Right
35952,2-S,84875420000.0,Brown,Right
35952,2-S,83185390000.0,Brown,Right
35952,2-S,86186590000.0,Brown,Right
35952,2-S,81232770000.0,Brown,Right
35952,2-S,85970830000.0,Brown,Right
35952,2-S,77494060000.0,Brown,Right
35952,2-S,80547430000.0,Brown,Right
35952,2-S,77229470000.0,Brown,Right
35952,2-S,80534700000.0,Brown,Right
35952,2-S,78401890000.0,Brown,Right
35952,2-S,83296220000.0,Brown,Right
35952,2-S,79593320000.0,Brown,Right
35952,2-S,83909280000.0,Brown,Right
35952,2-S,80919110000.0,Brown,Right
35952,2-S,83795450000.0,Brown,Right
35953,2-S,115869900000.0,HEPHY,Left
35953,2-S,112577600000.0,HEPHY,Left
35953,2-S,115794800000.0,HEPHY,Left
35953,2-S,115328400000.0,HEPHY,Left
35953,2-S,114472900000.0,HEPHY,Right
35953,2-S,117207200000.0,HEPHY,Right
35953,2-S,118080900000.0,HEPHY,Left
35953,2-S,116548800000.0,HEPHY,Left
35953,2-S,116135000000.0,HEPHY,Left
35953,2-S,118536300000.0,HEPHY,Left
35953,2-S,116670300000.0,HEPHY,Left
35953,2-S,118528400000.0,HEPHY,Left
35953,2-S,119182500000.0,HEPHY,Left
35953,2-S,112709400000.0,HEPHY,Left
35953,2-S,119547000000.0,HEPHY,Right
35953,2-S,119847000000.0,HEPHY,Right
35953,2-S,116333300000.0,HEPHY,Right
35953,2-S,120645800000.0,HEPHY,Right
35953,2-S,114815000000.0,HEPHY,Right
35953,2-S,112582700000.0,HEPHY,Right
35953,2-S,114826300000.0,HEPHY,Left
35953,2-S,114784600000.0,HEPHY,Left
35953,2-S,114650700000.0,HEPHY,Left
35953,2-S,113914000000.0,HEPHY,Left
35953,2-S,114305400000.0,HEPHY,Left
35953,2-S,114985100000.0,HEPHY,Left
35953,2-S,115078300000.0,HEPHY,Left
35953,2-S,116654000000.0,HEPHY,Left
35953,2-S,117211600000.0,HEPHY,Left
35953,2-S,117817300000.0,HEPHY,Left
35957,2-S,114763500000.0,HEPHY,Right
35957,2-S,114804900000.0,HEPHY,Right
35957,2-S,114215000000.0,HEPHY,Right
35957,2-S,116390000000.0,HEPHY,Right
35957,2-S,114787100000.0,HEPHY,Right
35957,2-S,114160400000.0,HEPHY,Right
35957,2-S,115930700000.0,HEPHY,Right
35957,2-S,113951600000.0,HEPHY,Right
35957,2-S,114503100000.0,HEPHY,Left
35957,2-S,112950500000.0,HEPHY,Left
35957,2-S,116076800000.0,HEPHY,Left
35957,2-S,113974800000.0,HEPHY,Left
35957,2-S,116080800000.0,HEPHY,Left
35957,2-S,115273100000.0,HEPHY,Left
35957,2-S,117357000000.0,HEPHY,Left
35957,2-S,115659400000.0,HEPHY,Left
35957,2-S,112047500000.0,HEPHY,Left
35957,2-S,112180700000.0,HEPHY,Left
35957,2-S,114418600000.0,HEPHY,Left
35957,2-S,111332000000.0,HEPHY,Left
35957,2-S,113069300000.0,HEPHY,Left
35957,2-S,112006500000.0,HEPHY,Left
35957,2-S,164733200000.0,HEPHY,Left
35957,2-S,114671100000.0,HEPHY,Right
35957,2-S,114441400000.0,HEPHY,Right
35957,2-S,116815300000.0,HEPHY,Left
35957,2-S,114045600000.0,HEPHY,Left
35957,2-S,114912800000.0,HEPHY,Left
35957,2-S,114453400000.0,HEPHY,Left
35957,2-S,114504700000.0,HEPHY,Left
35957,2-S,116435700000.0,HEPHY,Left
35958,2-S,108509900000.0,HEPHY,Left
35958,2-S,107035000000.0,HEPHY,Left
35958,2-S,106988900000.0,HEPHY,Left
