batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
39564,2S,EE,Brown,Right,20.0,20.005,5.331
39564,2S,WW,Brown,Right,20.0,20.006,5.618
39564,2S,EE,Brown,Right,20.0,20.008,4.941
39564,2S,WW,Brown,Right,20.0,20.002,5.08
39565,2S,EE,Brown,Right,20.0,20.003,5.744
39565,2S,WW,Brown,Right,20.0,20.005,5.879
39565,2S,EE,Brown,Right,20.0,20.003,6.04
39565,2S,WW,Brown,Right,20.0,20.003,6.178
39565,2S,EE,Brown,Right,20.0,20.001,5.332
39565,2S,WW,Brown,Right,20.0,20.006,5.501
39566,2S,EE,Brown,Right,20.0,20.009,4.817
39566,2S,WW,Brown,Right,20.0,20.007,5.033
39566,2S,EE,Brown,Right,20.0,20.002,5.315
39566,2S,WW,Brown,Right,20.0,20.002,5.466
39566,2S,EE,Brown,Right,20.0,20.003,4.426
39566,2S,WW,Brown,Right,20.0,20.006,4.678
39566,2S,EE,Brown,Right,20.0,20.003,4.631
39566,2S,WW,Brown,Right,20.0,20.005,4.736
39567,2S,EE,Brown,Right,20.0,20.01,5.611
39567,2S,WW,Brown,Right,20.0,20.004,5.814
39567,2S,EE,Brown,Right,20.0,20.006,5.827
39567,2S,WW,Brown,Right,20.0,20.004,6.109
39567,2S,EE,Brown,Right,20.0,20.008,5.118
39567,2S,WW,Brown,Right,20.0,20.004,5.271
39567,2S,EE,Brown,Right,20.0,20.007,5.424
39567,2S,WW,Brown,Right,20.0,20.005,5.717
39568,2S,EE,Perugia,Left,20.0,20.0,5.283
39568,2S,WW,Perugia,Left,20.0,20.0,5.139
39568,2S,EE,Perugia,Left,20.0,20.0,5.773
39568,2S,WW,Perugia,Left,20.0,20.0,5.651
39568,2S,EE,Perugia,Left,20.0,20.0,5.215
39568,2S,WW,Perugia,Left,20.0,20.0,5.097
39479,PSS,EE,Demokritos,Left,21.0,21.0,8.238
39479,PSS,WW,Demokritos,Left,21.3,21.3,8.214
39479,PSS,EE,Demokritos,Left,21.4,21.4,7.681
39479,PSS,WW,Demokritos,Left,21.3,21.3,7.605
