batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RHO_KOHMCM,VD_V,CMIN_PFRD,NA,D_UM,CMINPLNR_PFRD,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,EE,831164,26032,34330_045_2-S_HM_EE,,,2.213,9.832,263.7,,34330_045_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_045_2-S_HM_E_flute3_R_DiodeCV_18_8_2020_15h18m42s.txt,Perugia
34330,2S,EE,832325,26032,34330_045_2-S_HM_EE,,,2.244,50.316,260.057,,34330_045_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_045_2-S_HM_E_flute3_L_DiodeCV_18_8_2020_15h39m32s.txt,Perugia
34330,2S,WW,832019,26035,34330_045_2-S_HM_WW,,,2.279,51.408,256.063,,34330_045_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_045_2-S_HM_W_flute3_L_DiodeCV_18_8_2020_13h39m29s.txt,Perugia
34330,2S,WW,832490,26035,34330_045_2-S_HM_WW,,,2.374,10.227,245.816,,34330_045_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_045_2-S_HM_W_flute3_R_DiodeCV_18_8_2020_11h12m42s.txt,Perugia
34252,PSS,EE,2046292,26200,34252_001_PSS_HM_EE,3.478,259.366,2.035,2.662,318.188,-119099700000000.0,34252_001_PSS_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 1,3.0,10000.0,0.25,0.166,20.0,20.01,Test_HPK_VPX34252_001_PSS_HM_EE_East_South_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_10_2020_06_08_07_PM.txt,Brown
34252,PSS,EE,2047495,26200,34252_001_PSS_HM_EE,3.535,255.193,1.954,2.527,331.434,-118620200000000.0,34252_001_PSS_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 1,3.0,10000.0,0.25,0.165,20.0,20.046,Test_HPK_VPX34252_001_PSS_HM_EE_East_North_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_12_2020_01_52_44_PM.txt,Brown
34252,PSS,WW,2047111,26205,34252_001_PSS_HM_WW,3.337,270.283,1.926,2.568,336.096,-66764290000000.0,34252_001_PSS_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 2,3.0,10000.0,0.25,0.178,20.0,20.078,Test_HPK_VPX34252_001_PSS_HM_WW_West_South_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_12_2020_03_19_05_PM.txt,Brown
34252,PSS,WW,2048650,26205,34252_001_PSS_HM_WW,3.405,264.945,2.009,2.962,322.277,640000000000.0,34252_001_PSS_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 2,3.0,10000.0,0.25,0.177,20.0,20.013,Test_HPK_VPX34252_001_PSS_HM_WW_West_North_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_11_2020_04_01_17_PM.txt,Brown
34252,PSS,EE,2046952,26206,34252_002_PSS_HM_EE,3.981,226.598,7.617,20.857,85.003,-248670800000000.0,34252_002_PSS_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,3.0,10000.0,0.25,0.584,20.0,20.036,Test_HPK_VPX34252_002_PSS_HM_EE_East_North_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_12_2020_05_13_26_PM.txt,Brown
34252,PSS,EE,2048773,26206,34252_002_PSS_HM_EE,3.579,252.037,1.999,2.895,323.905,-113621400000000.0,34252_002_PSS_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,3.0,10000.0,0.25,0.201,20.0,20.082,Test_HPK_VPX34252_002_PSS_HM_EE_East_South_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_11_2020_05_51_07_PM.txt,Brown
