batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VI600_NAMPRMM3
36696,PSS,WW,Brown,Right,20.0,20.01,0.367
36696,PSS,EE,Brown,Right,20.0,20.039,0.281
36696,PSS,WW,Brown,Right,20.0,20.01,0.321
36696,PSS,EE,Brown,Right,20.0,20.004,0.245
36696,PSS,WW,Brown,Right,20.0,20.013,0.389
36697,PSS,EE,Brown,Right,20.0,20.004,0.282
36697,PSS,WW,Brown,Right,20.0,20.004,0.325
36697,PSS,EE,Brown,Right,20.0,20.007,0.253
36697,PSS,WW,Brown,Right,20.0,20.01,0.341
36697,PSS,EE,Brown,Right,20.0,20.008,0.277
36697,PSS,EE,Brown,Right,20.0,20.069,0.23
36697,PSS,WW,Brown,Right,20.0,20.004,0.314
36697,PSS,EE,Brown,Right,20.0,20.003,0.202
36697,PSS,WW,Brown,Right,20.0,20.004,0.23
36697,PSS,EE,Brown,Right,20.0,20.004,0.01957107
36697,PSS,EE,Brown,Right,20.0,20.01,0.259
36697,PSS,WW,Brown,Right,20.0,20.004,0.319
36697,PSS,EE,Brown,Right,20.0,20.016,0.257
36697,PSS,WW,Brown,Right,20.0,20.006,0.288
36697,PSS,EE,Brown,Right,20.0,20.053,0.251
36697,PSS,WW,Brown,Right,20.0,20.013,0.297
36246,2S,EE,Brown,Right,20.0,20.355,0.38
36246,2S,WW,Brown,Right,20.0,20.411,0.291
36246,2S,EE,Brown,Right,20.0,20.359,0.358
36246,2S,WW,Brown,Right,20.0,20.547,0.352
36246,2S,EE,Brown,Right,20.0,20.164,0.389
36246,2S,WW,Brown,Right,20.0,20.105,0.349
36246,2S,EE,Brown,Right,20.0,20.65,0.379
36246,2S,WW,Brown,Right,20.0,20.649,0.339
36246,2S,EE,Brown,Right,20.0,20.011,0.367
36246,2S,WW,Brown,Right,20.0,20.034,0.355
36246,2S,EE,Brown,Right,20.0,20.051,0.336
36246,2S,WW,Brown,Right,20.0,20.07,0.363
36246,2S,EE,Brown,Right,20.0,20.106,0.376
36246,2S,WW,Brown,Right,20.0,20.08,0.341
36246,2S,EE,Brown,Right,20.0,20.097,0.376
36246,2S,WW,Brown,Right,20.0,20.084,0.433
36246,2S,EE,Brown,Right,20.0,20.058,0.383
36246,2S,WW,Brown,Right,20.0,20.068,0.392
36706,2S,EE,Brown,Right,20.0,20.053,0.136
36706,2S,WW,Brown,Right,20.0,20.159,0.235
36706,2S,EE,Brown,Right,20.0,20.019,0.131
36706,2S,WW,Brown,Right,20.0,20.054,0.152
36706,2S,EE,Brown,Left,20.0,20.192,0.167
36706,2S,EE,Brown,Right,20.0,20.057,0.155
36706,2S,WW,Brown,Right,20.0,20.039,0.208
36706,2S,EE,Brown,Right,20.0,20.05,0.03980047
36706,2S,WW,Brown,Right,20.0,20.077,0.188
36706,2S,EE,Brown,Right,20.0,20.065,0.124
36706,2S,WW,Brown,Right,20.0,20.061,0.199
36795,2S,EE,Brown,Right,20.0,20.054,0.221
36795,2S,WW,Brown,Right,20.0,20.064,0.247
36795,2S,EE,Brown,Right,20.0,20.041,0.222
36795,2S,WW,Brown,Right,20.0,20.063,0.222
36795,2S,EE,Brown,Right,20.0,20.083,0.203
36795,2S,WW,Brown,Right,20.0,20.062,0.207
36795,2S,EE,Brown,Right,20.0,20.089,0.238
36795,2S,WW,Brown,Right,20.0,20.075,0.254
36795,2S,EE,Brown,Right,20.0,20.042,0.279
36795,2S,WW,Brown,Right,20.0,20.032,0.264
36795,2S,EE,Brown,Right,20.0,20.062,0.234
36795,2S,WW,Brown,Right,20.0,20.067,0.266
36795,2S,EE,Brown,Right,20.0,20.056,0.278
36795,2S,WW,Brown,Right,20.0,20.052,0.263
36795,2S,EE,Brown,Right,20.0,20.087,0.272
