batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,I600_PAMPR
36238,2S,EE,Brown,Right,20.0,20.004,0.419591
36238,2S,WW,Brown,Right,20.0,20.004,0.529749
36238,2S,EE,Brown,Right,20.0,20.013,0.585057
36238,2S,WW,Brown,Right,20.0,20.006,0.546786
36238,2S,EE,Brown,Right,20.0,20.014,0.511548
36238,2S,WW,Brown,Right,20.0,20.004,0.56639
36238,2S,EE,Brown,Right,20.0,20.028,0.511433
36238,2S,WW,Brown,Right,20.0,20.008,0.5258339999999999
36245,2S,EE,Brown,Right,20.0,20.002,0.532676
36245,2S,WW,Brown,Right,20.0,20.004,0.701273
36245,2S,WW,Brown,Right,20.0,20.002,0.5263540000000001
36245,2S,EE,Brown,Right,20.0,20.005,0.720274
36245,2S,WW,Brown,Right,20.0,20.003,0.5754980000000001
36245,2S,EE,Brown,Right,20.0,20.004,0.7150259999999999
36245,2S,WW,Brown,Right,20.0,20.004,0.631395
36245,2S,EE,Brown,Right,20.0,20.003,0.6957880000000001
36245,2S,WW,Brown,Right,20.0,20.003,0.5520170000000001
36245,2S,EE,Brown,Right,20.0,20.004,0.6842630000000001
36245,2S,WW,Brown,Right,20.0,20.004,0.649818
36245,2S,EE,Brown,Right,20.0,20.005,0.680413
36245,2S,WW,Brown,Right,20.0,20.004,0.597936
36245,2S,EE,Brown,Right,20.0,20.006,0.634039
36245,2S,WW,Brown,Right,20.0,20.004,0.60193
36245,2S,EE,Brown,Right,20.0,20.004,0.5887830000000001
36245,2S,WW,Brown,Right,20.0,20.002,0.6017899999999999
35500,PSP,EE,Brown,Right,20.0,20.046,0.052475
35500,PSP,WW,Brown,Right,20.0,20.114,0.068839
35500,PSP,EE,Brown,Right,20.0,20.264,0.049119
35500,PSP,WW,Brown,Right,20.0,20.175,0.084104
35500,PSP,EE,Brown,Right,20.0,20.139,0.067211
35500,PSP,WW,Brown,Right,20.0,20.138,0.06322900000000001
35500,PSP,EE,Brown,Right,20.0,20.339,0.10852500000000001
35500,PSP,EE,Brown,Right,20.0,20.039,0.058811999999999996
35500,PSP,WW,Brown,Right,20.0,20.101,0.060406999999999995
35500,PSP,EE,Brown,Right,20.0,20.038,0.07077
35500,PSP,WW,Brown,Right,20.0,20.101,0.069592
35500,PSP,EE,Brown,Right,20.0,20.114,0.08560899999999999
35500,PSP,WW,Brown,Right,20.0,20.138,0.055201
35500,PSP,EE,Brown,Right,20.0,20.103,0.074574
35500,PSP,WW,Brown,Right,20.0,20.12,0.061052
35500,PSP,EE,Brown,Right,20.0,20.025,0.065294
35500,PSP,WW,Brown,Right,20.0,20.097,0.0544
35500,PSP,EE,Brown,Right,20.0,20.104,0.070263
35500,PSP,WW,Brown,Right,20.0,20.114,0.063448
35501,PSP,EE,Brown,Right,20.0,20.011,0.156298
35501,PSP,WW,Brown,Right,20.0,20.068,0.069715
35501,PSP,EE,Brown,Right,20.0,20.037,0.139608
35501,PSP,WW,Brown,Right,20.0,20.096,0.057098
35501,PSP,EE,Brown,Right,20.0,20.101,0.127352
35501,PSP,WW,Brown,Right,20.0,20.124,0.053495
