batch_number,Type,TOX_NM,Location,KIND_OF_HM_SET_ID
36699,2-S,672.425,HEPHY,Left
36699,2-S,687.6310000000001,HEPHY,Left
36699,2-S,670.057,HEPHY,Left
36699,2-S,680.613,HEPHY,Left
36699,2-S,670.198,HEPHY,Left
36699,2-S,680.461,HEPHY,Left
36699,2-S,666.89,HEPHY,Left
36699,2-S,680.655,HEPHY,Left
36699,2-S,666.763,HEPHY,Left
36699,2-S,679.947,HEPHY,Left
36699,2-S,664.783,HEPHY,Left
36699,2-S,673.202,HEPHY,Left
36699,2-S,666.852,HEPHY,Left
36699,2-S,670.071,HEPHY,Left
36699,2-S,666.795,HEPHY,Left
36699,2-S,672.571,HEPHY,Left
36700,2-S,662.747,HEPHY,Left
36700,2-S,678.328,HEPHY,Left
36700,2-S,666.607,HEPHY,Left
36700,2-S,666.607,HEPHY,Left
36700,2-S,666.607,HEPHY,Left
36700,2-S,681.092,HEPHY,Left
36700,2-S,662.6310000000001,HEPHY,Left
36700,2-S,677.3760000000001,HEPHY,Left
36700,2-S,663.225,HEPHY,Left
36700,2-S,674.487,HEPHY,Left
36700,2-S,662.7189999999999,HEPHY,Left
36700,2-S,671.64,HEPHY,Left
36700,2-S,663.01,HEPHY,Left
36700,2-S,668.395,HEPHY,Left
36700,2-S,662.1339999999999,HEPHY,Left
36700,2-S,669.441,HEPHY,Left
36700,2-S,660.3580000000001,HEPHY,Left
36700,2-S,761.289,HEPHY,Left
36700,2-S,656.48,HEPHY,Left
36700,2-S,669.051,HEPHY,Left
36700,2-S,662.459,HEPHY,Left
36700,2-S,669.1569999999999,HEPHY,Left
36701,2-S,674.2239999999999,HEPHY,Left
36701,2-S,688.235,HEPHY,Left
36701,2-S,681.68,HEPHY,Left
36701,2-S,690.436,HEPHY,Left
36701,2-S,674.686,HEPHY,Left
36701,2-S,689.3480000000001,HEPHY,Left
36701,2-S,676.145,HEPHY,Left
36701,2-S,684.572,HEPHY,Left
36701,2-S,674.745,HEPHY,Left
36701,2-S,686.2689999999999,HEPHY,Left
36701,2-S,677.495,HEPHY,Left
36701,2-S,686.154,HEPHY,Left
36701,2-S,672.316,HEPHY,Left
36701,2-S,683.51,HEPHY,Left
36701,2-S,672.5260000000001,HEPHY,Left
36701,2-S,676.9789999999999,HEPHY,Left
36701,2-S,669.558,HEPHY,Left
36701,2-S,678.1139999999999,HEPHY,Left
36701,2-S,665.174,HEPHY,Left
36701,2-S,678.0310000000001,HEPHY,Left
36706,2-S,678.658,Brown,Right
36706,2-S,669.225,Brown,Right
36706,2-S,675.166,Brown,Right
36706,2-S,676.942,Brown,Right
36706,2-S,674.013,Brown,Right
36706,2-S,672.145,Brown,Right
36706,2-S,672.799,Brown,Right
36706,2-S,666.063,Brown,Right
36706,2-S,671.3380000000001,Brown,Right
36706,2-S,667.22,Brown,Right
36706,2-S,669.8510000000001,Brown,Right
36706,2-S,664.062,Brown,Right
36795,2-S,671.528,Brown,Right
36795,2-S,666.3480000000001,Brown,Right
36795,2-S,674.826,Brown,Right
36795,2-S,666.5160000000001,Brown,Right
36795,2-S,672.335,Brown,Right
36795,2-S,665.5139999999999,Brown,Right
36795,2-S,669.655,Brown,Right
36795,2-S,663.702,Brown,Right
36795,2-S,667.4810000000001,Brown,Right
36795,2-S,662.4019999999999,Brown,Right
36795,2-S,666.01,Brown,Right
36795,2-S,659.413,Brown,Right
36795,2-S,665.184,Brown,Right
36795,2-S,658.4,Brown,Right
36795,2-S,663.3639999999999,Brown,Right
