,Name,Mode,Meander_Rsh,ClMet_Rsh_std,ClMet_Rsh_rot,VDPEdge_std,VDPEdge_rot,LineW_Edge_std,LineW_Edge_rot,VDPBulk_std,VDPBulk_rot,VDPBulk_ResF1081,VDPBulk_ResF1218,Diode_I600,Diode_Cap,Diode_Vdep,Diode_Rho_Bulk
78,VPX36244_007_2-S_HM_E_Left,Quick,,,,,,,,60.073,59.8904,2.89511,3.23806,0.784655,2.682,282.529,2.9950099999999997
79,VPX36244_007_2-S_HM_W_Left,Quick,,,,,,,,61.6919,61.7447,2.97313,3.3253199999999996,0.703624,2.75507,284.38,3.05025
80,VPX36244_014_2-S_HM_E_Left,Quick,,,,,,,,59.833999999999996,59.4735,2.8835900000000003,3.22518,0.795458,2.74171,282.41200000000003,2.9983299999999997
81,VPX36244_014_2-S_HM_W_Left,Quick,,,,,,,,59.6639,59.8004,2.8754,3.21601,0.7900510000000001,2.7416400000000003,282.915,3.00547
82,VPX36244_023_2-S_HM_E_Left,Quick,,,,,,,,60.9771,60.902,2.9386799999999997,3.2867900000000003,0.8280360000000001,2.89293,282.328,3.01797
83,VPX36244_023_2-S_HM_W_Left,Quick,,,,,,,,61.0425,61.4351,2.94183,3.29032,0.768563,2.73407,276.904,3.08773
84,VPX36244_035_2-S_HM_E_Left,Quick,,,,,,,,63.3192,63.7067,3.05156,3.4130300000000005,0.805613,2.73957,270.0,3.18418
85,VPX36244_035_2-S_HM_W_Left,Quick,,,,,,,,64.1706,63.8044,3.09258,3.4589199999999996,0.8427049999999999,2.73429,267.964,3.2172
86,VPX36244_044_2-S_HM_E_Left,Quick,,,,,,,,61.1045,61.2469,2.94482,3.29366,0.711106,2.7585,278.09,3.10645
87,VPX36244_044_2-S_HM_W_Left,Quick,,,,,,,,60.9885,60.8111,2.93923,3.2874,0.8326690000000001,2.7442900000000003,279.546,3.09239
88,VPX38714_009_2-S_HM_E_Left,Extended,0.256569,17.5298,17.3851,1.22769,1.2174399999999999,46.3334,45.9464,81.7613,81.5176,3.94034,4.4071,0.320635,2.7812099999999997,203.231,4.21286
89,VPX38714_009_2-S_HM_W_Left,Extended,0.26006999999999997,17.3851,17.3385,1.18934,1.1748399999999999,46.1841,45.621,80.3075,80.293,3.87028,4.32874,0.145459,2.76681,204.168,4.14738
90,VPX38714_026_2-S_HM_E_Left,Extended,0.256423,17.0795,17.244,1.22769,1.23151,45.9382,46.081,82.1437,82.4917,3.95877,4.42771,0.225237,2.76195,202.85299999999998,4.19166
91,VPX38714_026_2-S_HM_W_Left,Extended,0.258176,17.4691,17.552,1.20154,1.1959600000000001,45.5392,45.3279,83.18299999999999,83.0103,4.008859999999999,4.48373,0.38009499999999996,2.76783,202.455,4.20571
92,VPX38714_048_2-S_HM_E_Left,Extended,0.237909,17.2673,17.1331,1.23295,1.22933,46.331,46.1947,78.9626,79.2796,3.80546,4.25624,0.25493899999999997,2.77324,206.56400000000002,4.13347
93,VPX38714_048_2-S_HM_W_Left,Extended,0.24571199999999999,17.3956,17.4038,1.20175,1.19815,46.818999999999996,46.6791,79.7645,80.6138,3.8441099999999997,4.2994699999999995,0.35343,2.73955,202.31400000000002,4.21737
94,VPX38714_006_2-S_HM_E_Left,Quick,,,,,,,,80.4371,80.4633,3.8765199999999997,4.335719999999999,0.28193,2.76933,202.85,4.20333
95,VPX38714_006_2-S_HM_W_Left,Quick,,,,,,,,80.4749,79.7091,3.87834,4.33776,0.149074,2.80448,199.269,4.28775
96,VPX38714_018_2-S_HM_E_Left,Quick,,,,,,,,80.9239,81.2449,3.8999800000000002,4.36196,0.25304099999999996,2.7479,202.38,4.15795
97,VPX38714_018_2-S_HM_W_Left,Quick,,,,,,,,80.8522,80.899,3.8965199999999998,4.3581,0.350745,2.78457,214.41099999999997,3.9437800000000003
98,VPX38714_034_2-S_HM_E_Left,Quick,,,,,,,,82.1392,82.6939,3.95855,4.42747,0.227992,2.76762,203.98,4.17139
99,VPX38714_034_2-S_HM_W_Left,Quick,,,,,,,,83.3656,82.7917,4.01765,4.493580000000001,0.376486,2.74079,203.40099999999998,4.19195
100,VPX38714_044_2-S_HM_E_Left,Quick,,,,,,,,82.2013,82.5578,3.9615400000000003,4.43081,0.24989,2.7776400000000003,201.247,4.24266
101,VPX38714_044_2-S_HM_W_Left,Quick,,,,,,,,82.1827,82.0042,3.96064,4.42981,0.400582,2.74445,191.299,4.46638
102,VPX37077_006_PSS_HM_E_Left,Quick,,,,,,,,71.9421,72.0231,3.4671199999999995,3.87782,0.13988399999999998,2.69307,232.37099999999998,3.6718699999999997
103,VPX37077_006_PSS_HM_W_Left,Quick,,,,,,,,73.336,73.8261,3.5343,3.95296,0.48958100000000004,2.80662,219.084,3.87575
104,VPX37077_019_PSS_HM_E_Left,Quick,,,,,,,,67.8808,69.17399999999999,3.2713900000000002,3.6589099999999997,0.609256,2.7521400000000003,221.49900000000002,3.7227099999999997
105,VPX37077_019_PSS_HM_W_Left,Quick,,,,,,,,68.9452,67.9521,3.32269,3.7162900000000003,0.494519,2.76562,232.092,3.59795
106,VPX37077_028_PSS_HM_E_Left,Quick,,,,,,,,69.9898,70.4298,3.3730300000000004,3.77259,0.5973109999999999,2.7401,216.55,3.87235
107,VPX37077_028_PSS_HM_W_Left,Quick,,,,,,,,70.2551,70.3089,3.38582,3.78689,0.51968,2.76779,217.96900000000002,3.84179
108,VPX37077_037_PSS_HM_E_Left,Quick,,,,,,,,70.3667,70.8115,3.39119,3.79291,0.523741,2.73857,210.91099999999997,3.96481
109,VPX37077_037_PSS_HM_W_Left,Quick,,,,,,,,71.8853,71.7233,3.4643800000000002,3.8747599999999998,0.493909,2.82648,203.13,4.10805
110,VPX37077_009_PSS_HM_E_Left,Extended,0.26405500000000004,16.8496,17.083,1.18831,1.17868,45.571000000000005,45.2019,68.2753,68.4473,3.2904,3.6801800000000005,0.6383979999999999,2.73988,228.71,3.64605
111,VPX37077_009_PSS_HM_W_Left,Extended,0.265523,17.1203,16.9068,1.18574,1.18583,45.7951,45.7987,70.5575,69.9495,3.4003900000000002,3.8031900000000003,0.512097,2.7703599999999997,233.472,3.65455
112,VPX37077_020_PSS_HM_E_Left,Extended,0.26604099999999997,17.1425,17.180999999999997,1.20108,1.20736,46.3926,46.635,72.2678,72.2277,3.4828099999999997,3.8953800000000003,0.506686,2.74693,232.199,3.69237
113,VPX37077_020_PSS_HM_W_Left,Extended,0.265306,17.2615,17.1553,1.19842,1.18719,46.8475,46.4083,72.8711,73.097,3.51189,3.9279,0.349408,2.76793,231.62599999999998,3.70151
114,VPX37077_032_PSS_HM_E_Left,Extended,0.26469499999999996,17.2125,17.0865,1.21074,1.21041,46.8383,46.8257,73.6343,73.9146,3.5486699999999995,3.96904,0.558251,2.76079,214.578,3.99559
115,VPX37077_032_PSS_HM_W_Left,Extended,0.26768000000000003,17.3851,17.3058,1.2063700000000002,1.1937,46.8146,46.323,72.6576,72.0593,3.5016,3.9163900000000003,0.474153,2.78248,218.59799999999998,3.9221
116,VPX35955_010_PSS_HM_E_Left,Extended,0.270278,17.4166,17.3058,1.23537,1.24332,45.8059,46.1009,72.5847,71.4504,3.4980900000000004,3.91246,0.31382899999999997,2.78386,217.27,3.93249
117,VPX35955_010_PSS_HM_W_Left,Extended,0.26303000000000004,17.1506,17.1308,1.21615,1.20364,46.4911,46.0126,72.6699,70.9712,3.50219,3.91705,0.300538,2.76917,225.231,3.7595300000000003
118,VPX35955_020_PSS_HM_E_Left,Extended,0.257732,17.3863,17.4166,1.22945,1.2307700000000001,46.8756,46.9258,70.3121,70.9385,3.3885699999999996,3.78997,0.39816399999999996,2.76455,225.93,3.76873
119,VPX35955_020_PSS_HM_W_Left,Extended,0.250498,17.3245,17.2591,1.2141,1.20984,46.5237,46.3605,71.6884,70.9528,3.4548900000000002,3.86415,0.281572,2.77314,222.15599999999998,3.83805
120,VPX35955_030_PSS_HM_E_Left,Extended,0.255669,17.0573,16.9465,1.2238200000000001,1.21402,46.863,46.4877,70.8834,70.8306,3.4161,3.82076,0.070538,2.77762,224.049,3.78725
121,VPX35955_030_PSS_HM_W_Left,Extended,0.254775,17.335,17.1658,1.2331299999999998,1.22007,46.6546,46.1607,71.5612,71.1113,3.44876,3.8573,0.361581,2.79767,226.864,3.7636
122,VPX35955_047_PSS_HM_E_Left,Extended,0.253922,17.3385,17.3793,1.2246,1.2261600000000001,46.6311,46.6906,71.3297,71.2219,3.43761,3.84482,0.407682,2.7806900000000003,223.142,3.81581
123,VPX35955_047_PSS_HM_W_Left,Extended,0.24561100000000002,17.223,17.1938,1.22361,1.2167299999999999,45.6263,45.3696,72.2219,72.0499,3.4806,3.8929099999999996,0.365096,2.80055,222.236,3.8419800000000004
124,VPX35955_008_PSS_HM_E_Left,Quick,,,,,,,,71.57,72.2722,3.44919,3.85777,0.29840700000000003,2.77219,229.55599999999998,3.72975
125,VPX35955_008_PSS_HM_W_Left,Quick,,,,,,,,72.7812,72.6251,3.50756,3.92306,0.310102,2.798,224.21099999999998,3.81865
126,VPX35955_018_PSS_HM_E_Left,Quick,,,,,,,,71.8921,71.9566,3.4647099999999997,3.8751300000000004,0.33131,2.7568799999999998,227.093,3.76758
127,VPX35955_018_PSS_HM_W_Left,Quick,,,,,,,,72.3772,71.7522,3.48809,3.9012800000000003,0.316134,2.79293,223.919,3.81837
128,VPX35955_026_PSS_HM_E_Left,Quick,,,,,,,,70.4345,72.0907,3.39446,3.79656,0.261231,2.7645,218.292,3.9140800000000002
129,VPX35955_026_PSS_HM_W_Left,Quick,,,,,,,,71.1033,72.104,3.4266900000000002,3.83261,0.331281,2.7913099999999997,219.873,3.88594
130,VPX35955_035_PSS_HM_E_Left,Quick,,,,,,,,72.3552,72.8569,3.4870300000000003,3.90009,0.397252,2.7886,218.84900000000002,3.9041300000000003
131,VPX35955_035_PSS_HM_W_Left,Quick,,,,,,,,72.4254,71.8513,3.49041,3.9038699999999995,0.335443,2.70533,252.408,3.38505
