ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,CHANNEL_ID,AGGREGATED_COND_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_SERIAL_NUMBER,PART_NAME_LABEL,VTH_V
9284791,9160,"Tracker Halfmoon TC Parameters",820337,,820336,7420,"2S Halfmoon W",29431,34348_022_2-S_HM_WW,,34348_022_2-S_HM_WW,3.629
20732132,9160,"Tracker Halfmoon TC Parameters",1906598,,1906597,7480,"PS-s Halfmoon E",31004,34254_045_PSS_HM_EE,,34254_045_PSS_HM_EE,3.982
20676276,9160,"Tracker Halfmoon TC Parameters",1904441,,1904440,7500,"PS-s Halfmoon W",31009,34254_045_PSS_HM_WW,,34254_045_PSS_HM_WW,4.058
20641682,9160,"Tracker Halfmoon TC Parameters",1901366,,1901365,7480,"PS-s Halfmoon E",31010,34254_046_PSS_HM_EE,,34254_046_PSS_HM_EE,4.014
20641695,9160,"Tracker Halfmoon TC Parameters",1902293,,1902292,7500,"PS-s Halfmoon W",31015,34254_046_PSS_HM_WW,,34254_046_PSS_HM_WW,4.047
20732120,9160,"Tracker Halfmoon TC Parameters",1904909,,1904908,7480,"PS-s Halfmoon E",31016,34254_047_PSS_HM_EE,,34254_047_PSS_HM_EE,4.016
20676271,9160,"Tracker Halfmoon TC Parameters",1903880,,1903879,7500,"PS-s Halfmoon W",31021,34254_047_PSS_HM_WW,,34254_047_PSS_HM_WW,4.063
20641696,9160,"Tracker Halfmoon TC Parameters",1902320,,1902319,7480,"PS-s Halfmoon E",31022,34254_048_PSS_HM_EE,,34254_048_PSS_HM_EE,4.03
9334681,9160,"Tracker Halfmoon TC Parameters",821595,,821594,7400,"2S Halfmoon E",28800,34346_001_2-S_HM_EE,,34346_001_2-S_HM_EE,3.909
9334693,9160,"Tracker Halfmoon TC Parameters",822348,,822347,7420,"2S Halfmoon W",28803,34346_001_2-S_HM_WW,,34346_001_2-S_HM_WW,3.882
9376712,9160,"Tracker Halfmoon TC Parameters",823626,,823625,7420,"2S Halfmoon W",28803,34346_001_2-S_HM_WW,,34346_001_2-S_HM_WW,3.858
9334680,9160,"Tracker Halfmoon TC Parameters",821472,,821471,7400,"2S Halfmoon E",28808,34346_004_2-S_HM_EE,,34346_004_2-S_HM_EE,3.809
9334697,9160,"Tracker Halfmoon TC Parameters",822699,,822698,7400,"2S Halfmoon E",28808,34346_004_2-S_HM_EE,,34346_004_2-S_HM_EE,3.791
9376702,9160,"Tracker Halfmoon TC Parameters",823137,,823136,7420,"2S Halfmoon W",28811,34346_004_2-S_HM_WW,,34346_004_2-S_HM_WW,3.751
9376708,9160,"Tracker Halfmoon TC Parameters",823467,,823466,7420,"2S Halfmoon W",28811,34346_004_2-S_HM_WW,,34346_004_2-S_HM_WW,3.748
6309755,9160,"Tracker Halfmoon TC Parameters",410186,,410185,7400,"2S Halfmoon E",47994,35719_002_2-S_HM_EE,,35719_002_2-S_HM_EE,4.056
20676274,9160,"Tracker Halfmoon TC Parameters",1904321,,1904320,7500,"PS-s Halfmoon W",31027,34254_048_PSS_HM_WW,,34254_048_PSS_HM_WW,4.072
