batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,ISURF_PAMPR,S0_CMSEC,VFB_ACC_V,VFB_INV_V,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34331,2S,EE,29800,34331_001_2-S_HM_EE,6.241,0.987,-2.438,-2.196,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.095,Test_HPK_VPX34331_001_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_11_2020_10_43_36_PM.txt,Brown
34331,2S,EE,29804,34331_002_2-S_HM_EE,6.533,1.04,-2.441,-2.186,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.015,Test_HPK_VPX34331_002_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_15_2020_05_53_53_PM.txt,Brown
34331,2S,WW,29807,34331_002_2-S_HM_WW,6.791,1.077,-2.378,-2.166,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.062,Test_HPK_VPX34331_002_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_15_2020_07_16_15_PM.txt,Brown
34331,2S,EE,29808,34331_004_2-S_HM_EE,6.377,1.007,-2.44,-2.196,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.117,Test_HPK_VPX34331_004_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_16_2020_10_44_59_AM.txt,Brown
34331,2S,WW,29811,34331_004_2-S_HM_WW,6.594,1.046,-2.442,-2.186,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.055,Test_HPK_VPX34331_004_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_16_2020_12_04_47_PM.txt,Brown
34331,2S,EE,29812,34331_006_2-S_HM_EE,6.434,1.022,-2.467,-2.231,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.044,Test_HPK_VPX34331_006_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_17_2020_04_30_46_PM.txt,Brown
34331,2S,WW,29815,34331_006_2-S_HM_WW,6.582,1.042,-2.447,-2.208,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.08,Test_HPK_VPX34331_006_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_17_2020_05_43_02_PM.txt,Brown
34331,2S,EE,29816,34331_007_2-S_HM_EE,6.451,1.017,-2.458,-2.196,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.133,Test_HPK_VPX34331_007_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_17_2020_06_55_16_PM.txt,Brown
34331,2S,WW,29819,34331_007_2-S_HM_WW,6.723,1.066,-2.455,-2.196,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.063,Test_HPK_VPX34331_007_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_17_2020_08_06_58_PM.txt,Brown
34331,2S,EE,29820,34331_008_2-S_HM_EE,6.408,1.021,-2.458,-2.211,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.01,Test_HPK_VPX34331_008_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_18_2020_05_32_27_PM.txt,Brown
