batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
42257,2S,EE,Brown,Right,20.0,20.015,1.82
42257,2S,WW,Brown,Right,20.0,20.035,2.942
42257,2S,EE,Brown,Right,20.0,20.06,2.898
42257,2S,WW,Brown,Right,20.0,20.05,3.018
42257,2S,EE,Brown,Right,20.0,20.062,2.804
42257,2S,WW,Brown,Right,20.0,20.043,2.987
42657,2S,EE,Demokritos,Left,21.9,21.9,6.155
42657,2S,WW,Demokritos,Left,22.3,22.3,6.239
42657,2S,EE,Demokritos,Left,22.4,22.4,6.614
42657,2S,WW,Demokritos,Left,22.8,22.8,6.714
42657,2S,EE,Demokritos,Left,23.2,23.2,7.013
42657,2S,WW,Demokritos,Left,23.6,23.6,7.126
42657,2S,EE,Demokritos,Left,23.9,23.9,6.746
42657,2S,WW,Demokritos,Left,24.2,24.2,6.694
42657,2S,EE,Demokritos,Left,20.8,20.8,5.231
42657,2S,WW,Demokritos,Left,22.0,22.0,5.435
42657,2S,EE,Demokritos,Left,22.6,22.6,5.944
42657,2S,WW,Demokritos,Left,23.0,23.0,5.902
42657,2S,EE,Demokritos,Left,23.3,23.3,6.563
42657,2S,WW,Demokritos,Left,23.7,23.7,6.55
42658,2S,EE,Demokritos,Left,24.5,24.5,6.428
42658,2S,WW,Demokritos,Left,24.7,24.7,6.144
42658,2S,EE,Demokritos,Left,23.5,23.5,6.0
42658,2S,WW,Demokritos,Left,24.0,24.0,5.98
42658,2S,EE,Demokritos,Left,24.9,24.9,6.84
42658,2S,WW,Demokritos,Left,21.0,21.0,5.019
42658,2S,EE,Demokritos,Left,24.2,24.2,6.56
42658,2S,WW,Demokritos,Left,24.5,24.5,6.549
42658,2S,EE,Demokritos,Left,21.8,21.8,5.049
42658,2S,WW,Demokritos,Left,22.4,22.4,4.993
42658,2S,EE,Demokritos,Left,24.8,24.8,6.418
42658,2S,WW,Demokritos,Left,25.1,25.1,6.331
42658,2S,EE,Demokritos,Left,22.9,22.9,5.533
42658,2S,WW,Demokritos,Left,23.2,23.2,5.447
42659,2S,EE,Demokritos,Left,21.9,21.9,5.975
42659,2S,WW,Demokritos,Left,22.2,22.2,5.969
42659,2S,EE,Demokritos,Left,22.1,22.1,6.155
42659,2S,WW,Demokritos,Left,22.2,22.2,6.06
42659,2S,EE,Demokritos,Left,20.6,20.6,5.391
42659,2S,WW,Demokritos,Left,21.5,21.5,5.401
42659,2S,EE,Demokritos,Left,22.1,22.1,5.194
42659,2S,WW,Demokritos,Left,22.5,22.5,5.097
42659,2S,EE,Demokritos,Left,22.2,22.2,5.902
42659,2S,WW,Demokritos,Left,22.2,22.2,5.738
42659,2S,EE,Demokritos,Left,22.8,22.8,5.793
42659,2S,WW,Demokritos,Left,23.1,23.1,5.795
42659,2S,EE,Demokritos,Left,22.2,22.2,6.164
42659,2S,WW,Demokritos,Left,22.2,22.2,6.039
42901,2S,EE,Demokritos,Left,23.8,23.8,6.871
42901,2S,WW,Demokritos,Left,24.2,24.2,6.83
42901,2S,EE,Demokritos,Left,23.7,23.7,6.877
42901,2S,WW,Demokritos,Left,24.0,24.0,6.948
42901,2S,EE,Demokritos,Left,24.5,24.5,7.463
42901,2S,WW,Demokritos,Left,21.1,21.1,5.954
42901,2S,EE,Demokritos,Left,22.0,22.0,6.279
42901,2S,WW,Demokritos,Left,22.7,22.7,6.275
42901,2S,EE,Demokritos,Left,23.1,23.1,6.343
42901,2S,WW,Demokritos,Left,23.4,23.4,6.3
42901,2S,EE,Demokritos,Left,20.0,20.0,5.053
42901,2S,WW,Demokritos,Left,21.4,21.4,5.35
42901,2S,EE,Demokritos,Left,22.5,22.5,6.088
42901,2S,WW,Demokritos,Left,23.3,23.3,6.327
42902,2S,EE,Brown,Right,20.0,20.005,3.142
42902,2S,WW,Brown,Right,20.0,20.009,3.179
42902,2S,EE,Brown,Right,20.0,20.013,3.247
42902,2S,WW,Brown,Right,20.0,20.029,3.474
42902,2S,EE,Brown,Right,20.0,20.047,3.251
42902,2S,WW,Brown,Right,20.0,20.028,3.324
42902,2S,EE,Brown,Right,20.0,20.049,3.501
42902,2S,WW,Brown,Right,20.0,20.016,3.507
42902,2S,EE,Brown,Right,20.0,20.002,3.441
42902,2S,WW,Brown,Right,20.0,20.007,3.591
42902,2S,EE,Brown,Right,20.0,20.011,3.498
42902,2S,WW,Brown,Right,20.0,20.017,3.584
42902,2S,EE,Brown,Right,20.0,20.024,3.165
42902,2S,WW,Brown,Right,20.0,20.017,3.153
42902,2S,EE,Brown,Right,20.0,20.052,3.044
42902,2S,WW,Brown,Right,20.0,20.018,3.298
42903,2S,EE,Brown,Right,20.0,20.002,4.351
42903,2S,WW,Brown,Right,20.0,20.006,4.428
42903,2S,EE,Brown,Right,20.0,20.007,4.233
42903,2S,WW,Brown,Right,20.0,20.016,4.266
42903,2S,EE,Brown,Right,20.0,20.017,4.191
42903,2S,WW,Brown,Right,20.0,20.009,4.287
42903,2S,EE,Brown,Right,20.0,20.049,4.287
42903,2S,WW,Brown,Right,20.0,20.02,4.377
