batch_number,Type,VFB_V,Location,KIND_OF_HM_SET_ID
35500,PSP,-5.15,Brown,Right
35500,PSP,-4.429,Brown,Right
35500,PSP,-5.069,Brown,Right
35500,PSP,-4.406,Brown,Right
35500,PSP,-5.086,Brown,Right
35500,PSP,-4.502,Brown,Right
35500,PSP,-5.053,Brown,Right
35500,PSP,-4.387,Brown,Right
35500,PSP,-5.013,Brown,Right
35501,PSP,-3.825,Brown,Right
35501,PSP,-4.669,Brown,Right
35501,PSP,-3.828,Brown,Right
35501,PSP,-4.644,Brown,Right
35501,PSP,-4.017,Brown,Right
35501,PSP,-4.822,Brown,Right
35501,PSP,-4.049,Brown,Right
35501,PSP,-4.846,Brown,Right
35501,PSP,-4.094,Brown,Right
35501,PSP,-4.854,Brown,Right
35501,PSP,-3.725,Brown,Right
35501,PSP,-4.512,Brown,Right
35501,PSP,-3.712,Brown,Right
35501,PSP,-4.51,Brown,Right
35501,PSP,-3.734,Brown,Right
35501,PSP,-4.753,Brown,Right
35501,PSP,-3.754,Brown,Right
35501,PSP,-4.732,Brown,Right
35501,PSP,-3.824,Brown,Right
35501,PSP,-4.699,Brown,Right
35713,PSS,-3.039,Perugia,Left
35713,PSS,-3.058,Perugia,Left
35713,PSS,-3.083,Perugia,Left
35713,PSS,-3.059,Perugia,Left
35713,PSS,-3.099,Perugia,Left
35713,PSS,-3.123,Perugia,Left
35713,PSS,-3.155,Perugia,Left
35713,PSS,-3.016,Perugia,Left
35713,PSS,-3.016,Perugia,Left
35713,PSS,-2.997,Perugia,Left
35713,PSS,-2.824,Perugia,Left
35713,PSS,-2.844,Perugia,Left
35713,PSS,-2.861,Perugia,Left
35713,PSS,-2.866,Perugia,Left
35713,PSS,-2.84,Perugia,Left
35714,PSS,-2.565,Perugia,Left
35714,PSS,-2.659,Perugia,Left
35714,PSS,-2.53,Perugia,Left
35714,PSS,-2.651,Perugia,Left
35714,PSS,-2.468,Perugia,Left
35714,PSS,-2.608,Perugia,Left
35714,PSS,-2.592,Perugia,Left
35714,PSS,-2.67,Perugia,Left
