batch_number,Type,ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_NAME_LABEL,VFB_V,CACC_PFRD,NOX,TOX_NM,CAC_PFRD,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,21918341,9140,Tracker Halfmoon CV Parameters,2048732,7500,PS-s Halfmoon W,26319,34252_020_PSS_HM_WW,34252_020_PSS_HM_WW,-2.365,86.451,4616198000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.008,Test_HPK_VPX34252_020_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_08_20_2020_01_59_32_PM.txt,Brown
34252,PSS,21857879,9140,Tracker Halfmoon CV Parameters,2046926,7500,PS-s Halfmoon W,26319,34252_020_PSS_HM_WW,34252_020_PSS_HM_WW,-2.47,85.131,4549068000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.008,Test_HPK_VPX34252_020_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_08_20_2020_01_59_32_PM.txt,Brown
34254,PSS,20637602,9140,Tracker Halfmoon CV Parameters,1901222,7480,PS-s Halfmoon E,30340,34254_001_PSS_HM_EE,34254_001_PSS_HM_EE,-2.866,85.296,4570579000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.5,,,,20.0,20.003,Test_HPK_VPX34254_001_PSS_HM_EE_East_South_PQC1_MOS1_MOSQuarter_CV_Run01_10_19_2020_01_03_27_PM.txt,Brown
34254,PSS,20651335,9140,Tracker Halfmoon CV Parameters,1902086,7500,PS-s Halfmoon W,30345,34254_001_PSS_HM_WW,34254_001_PSS_HM_WW,-2.919,86.599,4642072000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 2,0.5,,,,20.0,20.008,Test_HPK_VPX34254_001_PSS_HM_WW_West_North_PQC1_MOS1_MOSQuarter_CV_Run01_10_19_2020_02_16_54_PM.txt,Brown
34254,PSS,20669329,9140,Tracker Halfmoon CV Parameters,1902563,7480,PS-s Halfmoon E,30346,34254_002_PSS_HM_EE,34254_002_PSS_HM_EE,-2.858,85.502,4581349000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 3,0.5,,,,20.0,20.062,Test_HPK_VPX34254_002_PSS_HM_EE_East_South_PQC1_MOS1_MOSQuarter_CV_Run01_10_19_2020_03_30_10_PM.txt,Brown
34254,PSS,20651324,9140,Tracker Halfmoon CV Parameters,1901864,7500,PS-s Halfmoon W,30351,34254_002_PSS_HM_WW,34254_002_PSS_HM_WW,-2.935,86.351,4629342000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 4,0.5,,,,20.0,20.011,Test_HPK_VPX34254_002_PSS_HM_WW_West_North_PQC1_MOS1_MOSQuarter_CV_Run01_10_19_2020_04_43_32_PM.txt,Brown
34254,PSS,20743939,9140,Tracker Halfmoon CV Parameters,1905950,7480,PS-s Halfmoon E,30352,34254_003_PSS_HM_EE,34254_003_PSS_HM_EE,-2.835,75.975,4070228000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.5,,,,20.0,20.004,Test_HPK_VPX34254_003_PSS_HM_EE_East_South_PQC1_MOS1_MOSQuarter_CV_Run01_10_20_2020_06_25_03_PM.txt,Brown
34254,PSS,20637604,9140,Tracker Halfmoon CV Parameters,1901324,7500,PS-s Halfmoon W,30357,34254_003_PSS_HM_WW,34254_003_PSS_HM_WW,-2.935,86.387,4631234000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 2,0.5,,,,20.0,20.011,Test_HPK_VPX34254_003_PSS_HM_WW_West_North_PQC1_MOS1_MOSQuarter_CV_Run01_10_20_2020_07_38_26_PM.txt,Brown
34254,PSS,20651336,9140,Tracker Halfmoon CV Parameters,1902101,7480,PS-s Halfmoon E,30358,34254_004_PSS_HM_EE,34254_004_PSS_HM_EE,-2.813,86.358,4625753000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 3,0.5,,,,20.0,20.064,Test_HPK_VPX34254_004_PSS_HM_EE_East_North_PQC1_MOS1_MOSQuarter_CV_Run01_10_21_2020_12_13_02_PM.txt,Brown
34254,PSS,20682118,9140,Tracker Halfmoon CV Parameters,1903295,7500,PS-s Halfmoon W,30363,34254_004_PSS_HM_WW,34254_004_PSS_HM_WW,-2.904,86.198,4620072000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 4,0.2,,,,20.0,20.119,Test_HPK_VPX34254_004_PSS_HM_WW_West_North_PQC1_MOS1_MOSQuarter_CV_Run02_10_21_2020_10_59_21_AM.txt,Brown
