batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RSH_OHMSQR,T_UM,RHO_KOHMCM,RC_OHM,R_OHM,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,EE,2045890,26242,34252_008_PSS_HM_EE,,,,,95.06907000000001,34252_008_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.116,Test_HPK_VPX34252_008_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_31_2020_12_28_32_PM.txt,Brown
34252,PSS,EE,2047204,26242,34252_008_PSS_HM_EE,,,,,96.12342,34252_008_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.09,Test_HPK_VPX34252_008_PSS_HM_EE_East_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_01_2020_03_37_48_PM.txt,Brown
34252,PSS,WW,2046190,26247,34252_008_PSS_HM_WW,,,,,92.71395,34252_008_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,20.0,20.064,Test_HPK_VPX34252_008_PSS_HM_WW_West_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_31_2020_02_34_22_PM.txt,Brown
34252,PSS,WW,2048305,26247,34252_008_PSS_HM_WW,,,,,92.35169,34252_008_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,20.0,20.106,Test_HPK_VPX34252_008_PSS_HM_WW_West_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_01_2020_05_13_39_PM.txt,Brown
34252,PSS,EE,2046064,26248,34252_009_PSS_HM_EE,,,,,103.45710000000001,34252_009_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.016,Test_HPK_VPX34252_009_PSS_HM_EE_East_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_04_2020_06_18_01_PM.txt,Brown
34252,PSS,EE,2050228,26248,34252_009_PSS_HM_EE,,,,,96.82646000000001,34252_009_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.042,Test_HPK_VPX34252_009_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_03_2020_03_54_36_PM.txt,Brown
34252,PSS,WW,2045905,26253,34252_009_PSS_HM_WW,,,,,91.97788000000001,34252_009_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 2,0.2,,,,20.0,20.069,Test_HPK_VPX34252_009_PSS_HM_WW_West_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_03_2020_05_49_22_PM.txt,Brown
34252,PSS,WW,2048884,26253,34252_009_PSS_HM_WW,,,,,101.7603,34252_009_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 2,0.2,,,,20.0,20.062,Test_HPK_VPX34252_009_PSS_HM_WW_West_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_04_2020_07_40_55_PM.txt,Brown
34252,PSS,EE,2046379,26254,34252_010_PSS_HM_EE,,,,,94.34225,34252_010_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.109,Test_HPK_VPX34252_010_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_03_2020_07_11_54_PM.txt,Brown
34252,PSS,EE,2047924,26254,34252_010_PSS_HM_EE,,,,,93.21464999999999,34252_010_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.099,Test_HPK_VPX34252_010_PSS_HM_EE_East_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_04_2020_09_04_22_PM.txt,Brown
