batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34331,2S,WW,Brown,Right,20.0,19.841,12703.14
34331,2S,EE,Brown,Right,20.0,20.007,12794.23
34331,2S,EE,Brown,Right,20.0,20.006,12787.38
34331,2S,WW,Brown,Right,20.0,20.071,12756.37
34331,2S,WW,Brown,Right,20.0,20.071,12814.81
34331,2S,EE,Brown,Right,20.0,20.138,12788.39
34331,2S,EE,Brown,Right,20.0,20.137,12753.92
34331,2S,WW,Brown,Right,20.0,20.068,12705.2
34331,2S,WW,Brown,Right,20.0,20.066,12740.07
34331,2S,EE,Brown,Right,20.0,20.007,12970.5
34331,2S,EE,Brown,Right,20.0,20.006,13059.6
34331,2S,WW,Brown,Right,20.0,20.061,13104.54
34331,2S,WW,Brown,Right,20.0,20.058,13066.1
34331,2S,EE,Brown,Right,20.0,20.144,12749.5
34331,2S,EE,Brown,Right,20.0,20.122,12938.11
34331,2S,WW,Brown,Right,20.0,20.058,12947.88
34331,2S,WW,Brown,Right,20.0,20.058,12897.59
34331,2S,EE,Brown,Right,20.0,20.02,12823.17
34331,2S,EE,Brown,Right,20.0,20.03,12880.91
34331,2S,WW,Brown,Right,20.0,20.036,12883.77
34331,2S,WW,Brown,Right,20.0,20.035,12895.8
34331,2S,EE,Brown,Right,20.0,20.106,15001.26
34331,2S,EE,Brown,Right,20.0,20.105,15100.76
34331,2S,WW,Brown,Right,20.0,20.047,14964.99
34331,2S,WW,Brown,Right,20.0,20.049,15064.45
34340,PSS,EE,Brown,Right,20.0,20.003,14888.25
34340,PSS,EE,Brown,Right,20.0,20.004,14930.1
34340,PSS,WW,Brown,Left,20.0,20.024,14918.08
34340,PSS,WW,Brown,Right,20.0,20.007,14866.99
34340,PSS,EE,Brown,Right,20.0,20.048,15542.81
34340,PSS,EE,Brown,Right,20.0,20.048,15496.78
34340,PSS,WW,Brown,Right,20.0,20.002,15635.02
34340,PSS,WW,Brown,Right,20.0,20.002,15526.61
34340,PSS,EE,Brown,Right,20.0,20.002,15613.06
34340,PSS,EE,Brown,Right,20.0,20.0,15449.64
34340,PSS,WW,Brown,Right,20.0,20.003,15538.15
34340,PSS,WW,Brown,Right,20.0,20.005,15608.45
34340,PSS,EE,Brown,Right,20.0,20.028,15313.9
34340,PSS,EE,Brown,Left,20.0,20.07,15448.59
34340,PSS,WW,Brown,Right,20.0,20.002,15487.91
34340,PSS,WW,Brown,Right,20.0,20.001,15505.21
34340,PSS,EE,Brown,Right,20.0,20.007,14937.04
34340,PSS,EE,Brown,Right,20.0,20.003,15214.2
34340,PSS,WW,Brown,Right,20.0,20.007,15045.46
34340,PSS,WW,Brown,Right,20.0,20.004,14957.72
34340,PSS,EE,Brown,Right,20.0,20.057,15573.68
34340,PSS,EE,Brown,Right,20.0,20.058,15509.81
34340,PSS,WW,Brown,Right,20.0,20.008,15371.61
34340,PSS,WW,Brown,Right,20.0,20.01,15470.87
34340,PSS,EE,Brown,Right,20.0,20.004,15586.83
34340,PSS,EE,Brown,Right,20.0,20.006,15480.62
34340,PSS,WW,Brown,Right,20.0,20.001,15497.14
34340,PSS,WW,Brown,Right,20.0,20.0,15509.24
34340,PSS,EE,Brown,Right,20.0,20.049,14884.42
34340,PSS,EE,Brown,Right,20.0,20.048,14945.39
34340,PSS,WW,Brown,Right,20.0,20.01,14977.14
34340,PSS,WW,Brown,Right,20.0,20.011,15071.97
34340,PSS,EE,Brown,Right,20.0,20.002,15500.21
34340,PSS,EE,Brown,Right,20.0,20.002,15604.44
34340,PSS,WW,Brown,Right,20.0,20.007,15453.41
34340,PSS,WW,Brown,Right,20.0,20.008,15546.62
34340,PSS,EE,Brown,Right,20.0,20.052,15514.31
34340,PSS,EE,Brown,Right,20.0,20.051,15558.09
34340,PSS,WW,Brown,Right,20.0,20.007,15477.13
34340,PSS,WW,Brown,Right,20.0,20.008,15460.11
34340,PSS,EE,Brown,Right,20.0,20.001,15710.91
34340,PSS,EE,Brown,Right,20.0,19.998,15744.65
34340,PSS,WW,Brown,Right,20.0,20.006,15798.2
34340,PSS,WW,Brown,Right,20.0,20.003,15635.24
34340,PSS,EE,Brown,Right,20.0,20.075,15478.97
34340,PSS,EE,Brown,Right,20.0,20.059,15788.67
34340,PSS,WW,Brown,Right,20.0,20.015,15832.65
34340,PSS,WW,Brown,Right,20.0,20.015,15734.84
34340,PSS,EE,Brown,Right,20.0,19.998,15914.0
34340,PSS,EE,Brown,Right,20.0,19.998,15819.09
34340,PSS,WW,Brown,Right,20.0,20.003,15939.51
34340,PSS,WW,Brown,Right,20.0,20.004,15758.01
34340,PSS,EE,Brown,Right,20.0,20.047,15147.12
34340,PSS,EE,Brown,Right,20.0,20.046,15032.28
34340,PSS,WW,Brown,Right,20.0,20.008,15045.47
34340,PSS,WW,Brown,Right,20.0,20.009,15049.92
34340,PSS,EE,Brown,Right,20.0,19.998,15586.86
34340,PSS,EE,Brown,Right,20.0,19.999,15456.3
34340,PSS,WW,Brown,Right,20.0,20.008,15600.12
34340,PSS,WW,Brown,Right,20.0,20.008,15770.46
34340,PSS,EE,Brown,Right,20.0,20.058,15659.12
34340,PSS,EE,Brown,Right,20.0,20.059,15565.97
34340,PSS,WW,Brown,Right,20.0,20.013,15669.38
34340,PSS,WW,Brown,Right,20.0,20.013,15584.09
34340,PSS,EE,Brown,Right,20.0,20.003,15862.88
34340,PSS,EE,Brown,Right,20.0,20.005,15772.27
34254,PSS,EE,Brown,Right,20.0,20.0,14093.13
34254,PSS,EE,Brown,Right,20.0,20.002,14174.04
34254,PSS,WW,Brown,Right,20.0,20.007,13846.09
34254,PSS,WW,Brown,Right,20.0,20.078,13694.08
34254,PSS,EE,Brown,Right,20.0,20.065,14289.21
34254,PSS,EE,Brown,Right,20.0,20.063,14177.0
34254,PSS,WW,Brown,Right,20.0,20.01,14117.47
34254,PSS,WW,Brown,Right,20.0,20.011,13981.26
34254,PSS,EE,Brown,Right,20.0,20.003,13914.35
34254,PSS,EE,Brown,Left,20.0,20.008,13883.08
34254,PSS,WW,Brown,Right,20.0,20.015,13848.62
34254,PSS,WW,Brown,Right,20.0,20.015,13844.77
