batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,TOX_NM
36698,2S,EE,HEPHY,Left,,,676.982
36698,2S,WW,HEPHY,Left,,,692.307
36698,2S,EE,HEPHY,Left,,,679.487
36698,2S,WW,HEPHY,Left,,,697.117
36698,2S,EE,HEPHY,Left,,,676.854
36698,2S,WW,HEPHY,Left,,,694.531
36698,2S,EE,HEPHY,Left,,,676.389
36698,2S,WW,HEPHY,Left,,,695.57
36698,2S,EE,HEPHY,Left,,,673.765
36698,2S,WW,HEPHY,Left,,,690.462
36698,2S,EE,HEPHY,Left,,,674.765
36698,2S,WW,HEPHY,Left,,,689.516
36698,2S,EE,HEPHY,Left,,,669.239
36698,2S,WW,HEPHY,Left,,,678.835
36698,2S,EE,HEPHY,Left,,,669.284
36698,2S,WW,HEPHY,Left,,,688.025
36698,2S,EE,HEPHY,Left,,,670.187
36698,2S,WW,HEPHY,Left,,,680.435
36698,2S,EE,HEPHY,Left,,,667.208
36698,2S,WW,HEPHY,Left,,,679.429
36699,2S,WW,HEPHY,Left,,,683.273
36699,2S,EE,HEPHY,Left,,,670.234
36699,2S,WW,HEPHY,Left,,,685.933
36699,2S,EE,HEPHY,Left,,,672.425
36699,2S,WW,HEPHY,Left,,,687.631
36699,2S,EE,HEPHY,Left,,,670.057
36699,2S,WW,HEPHY,Left,,,680.613
36699,2S,EE,HEPHY,Left,,,670.198
36699,2S,WW,HEPHY,Left,,,680.461
36699,2S,EE,HEPHY,Left,,,666.89
36699,2S,WW,HEPHY,Left,,,680.655
36699,2S,EE,HEPHY,Left,,,666.763
36699,2S,WW,HEPHY,Left,,,679.947
36699,2S,EE,HEPHY,Left,,,664.783
36699,2S,WW,HEPHY,Left,,,673.202
36699,2S,EE,HEPHY,Left,,,666.852
36699,2S,WW,HEPHY,Left,,,670.071
36699,2S,EE,HEPHY,Left,,,666.795
36699,2S,WW,HEPHY,Left,,,672.571
36706,2S,EE,Brown,Right,20.0,20.025,678.658
36706,2S,WW,Brown,Right,20.0,20.074,669.225
36706,2S,EE,Brown,Right,20.0,20.013,675.166
36706,2S,WW,Brown,Right,20.0,20.018,676.942
36706,2S,EE,Brown,Right,20.0,20.208,674.013
36706,2S,WW,Brown,Right,20.0,20.272,672.145
36706,2S,EE,Brown,Right,20.0,20.034,672.799
36706,2S,WW,Brown,Right,20.0,20.054,666.063
36706,2S,EE,Brown,Right,20.0,20.035,671.338
36706,2S,WW,Brown,Right,20.0,20.053,667.22
36706,2S,EE,Brown,Right,20.0,20.06,669.851
36706,2S,WW,Brown,Right,20.0,20.057,664.062
36795,2S,EE,Brown,Right,20.0,20.057,671.528
36795,2S,WW,Brown,Right,20.0,20.09,666.348
36795,2S,EE,Brown,Right,20.0,20.18,674.826
36795,2S,WW,Brown,Right,20.0,20.055,666.516
36795,2S,EE,Brown,Right,20.0,20.093,672.335
36795,2S,WW,Brown,Right,20.0,20.081,665.514
36795,2S,EE,Brown,Right,20.0,20.071,669.655
36795,2S,WW,Brown,Right,20.0,20.124,663.702
36795,2S,EE,Brown,Right,20.0,20.025,667.481
36795,2S,WW,Brown,Right,20.0,20.051,662.402
36795,2S,EE,Brown,Right,20.0,20.059,666.01
36795,2S,WW,Brown,Right,20.0,20.073,659.413
36795,2S,EE,Brown,Right,20.0,20.055,665.184
36795,2S,WW,Brown,Right,20.0,20.038,658.4
36795,2S,EE,Brown,Right,20.0,20.087,663.364
36795,2S,WW,Brown,Right,20.0,20.095,657.614
36796,2S,EE,Brown,Right,20.0,20.017,660.391
36796,2S,WW,Brown,Right,20.0,20.021,655.345
36796,2S,EE,Brown,Right,20.0,20.039,777.038
36796,2S,WW,Brown,Right,20.0,20.052,655.959
36796,2S,EE,Brown,Right,20.0,20.038,656.309
36796,2S,EE,Brown,Right,20.0,20.038,656.309
36796,2S,WW,Brown,Right,20.0,20.077,657.823
36796,2S,WW,Brown,Right,20.0,20.077,657.823
36796,2S,EE,Brown,Right,20.0,20.081,656.714
36796,2S,WW,Brown,Right,20.0,20.069,655.211
36796,2S,EE,Brown,Right,20.0,20.043,655.062
36796,2S,WW,Brown,Right,20.0,20.045,650.2
36796,2S,EE,Brown,Right,20.0,20.042,655.627
36796,2S,WW,Brown,Right,20.0,20.041,652.128
36796,2S,EE,Brown,Right,20.0,20.055,654.21
36796,2S,WW,Brown,Right,20.0,20.069,652.586
