batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CACC_PFRD
35958,2S,WW,HEPHY,Left,,,85.225
35958,2S,WW,HEPHY,Right,,,85.529
35958,2S,EE,HEPHY,Left,,,85.592
35958,2S,EE,HEPHY,Right,,,85.266
35958,2S,WW,HEPHY,Right,,,85.952
35958,2S,WW,HEPHY,Left,,,85.346
35958,2S,EE,HEPHY,Right,,,85.213
35958,2S,EE,HEPHY,Left,,,86.081
35958,2S,WW,HEPHY,Right,,,85.736
35958,2S,WW,HEPHY,Left,,,85.276
35958,2S,EE,HEPHY,Left,,,86.011
35958,2S,EE,HEPHY,Right,,,85.245
35958,2S,WW,HEPHY,Left,,,84.885
35958,2S,WW,HEPHY,Right,,,85.648
35963,2S,EE,Brown,Right,20.0,20.014,84.498
35963,2S,WW,Brown,Right,20.0,20.003,85.72
35963,2S,EE,Brown,Right,20.0,20.157,84.507
35963,2S,WW,Brown,Right,20.0,20.014,85.212
35963,2S,EE,Brown,Right,20.0,20.012,84.538
35963,2S,WW,Brown,Right,20.0,20.005,85.669
35963,2S,EE,Brown,Right,20.0,20.03,84.5
35963,2S,WW,Brown,Right,20.0,20.015,85.791
35963,2S,EE,Brown,Right,20.0,20.005,84.431
35963,2S,WW,Brown,Right,20.0,20.004,86.155
35963,2S,EE,Brown,Right,20.0,20.006,85.525
35963,2S,WW,Brown,Right,20.0,20.004,86.423
35963,2S,EE,Brown,Right,20.0,20.018,85.682
35963,2S,WW,Brown,Right,20.0,20.013,86.553
35963,2S,EE,Brown,Right,20.0,20.015,85.761
35963,2S,WW,Brown,Right,20.0,20.005,86.745
35963,2S,EE,Brown,Right,20.0,20.018,85.959
35963,2S,WW,Brown,Right,20.0,20.004,87.08
36238,2S,EE,Brown,Right,20.0,20.003,84.069
36238,2S,WW,Brown,Right,20.0,20.004,85.416
36238,2S,EE,Brown,Right,20.0,20.007,83.867
36238,2S,WW,Brown,Right,20.0,20.003,85.31
36238,2S,EE,Brown,Right,20.0,20.012,84.026
36238,2S,WW,Brown,Right,20.0,20.005,84.983
36238,2S,EE,Brown,Right,20.0,20.017,84.055
36238,2S,WW,Brown,Right,20.0,20.006,85.208
36238,2S,EE,Brown,Right,20.0,20.003,83.388
36238,2S,WW,Brown,Right,20.0,20.003,85.402
36238,2S,EE,Brown,Right,20.0,20.011,83.55
36238,2S,WW,Brown,Right,20.0,20.003,85.86
36238,2S,EE,Brown,Right,20.0,20.012,85.067
36238,2S,WW,Brown,Right,20.0,20.004,86.187
36238,2S,EE,Brown,Right,20.0,20.014,85.113
36238,2S,WW,Brown,Right,20.0,20.005,86.166
36238,2S,EE,Brown,Right,20.0,20.025,85.22
36238,2S,WW,Brown,Right,20.0,20.015,86.397
36239,2S,EE,HEPHY,Right,,,84.988
36239,2S,EE,HEPHY,Left,,,86.477
36239,2S,WW,HEPHY,Right,,,86.092
36239,2S,WW,HEPHY,Left,,,85.211
36239,2S,EE,HEPHY,Right,,,84.239
36239,2S,EE,HEPHY,Left,,,85.903
36239,2S,WW,HEPHY,Right,,,85.763
36239,2S,WW,HEPHY,Left,,,85.013
36239,2S,EE,HEPHY,Left,,,86.073
36239,2S,EE,HEPHY,Right,,,84.671
36239,2S,WW,HEPHY,Left,,,84.512
36239,2S,WW,HEPHY,Right,,,85.946
36239,2S,EE,HEPHY,Right,,,85.092
36239,2S,EE,HEPHY,Left,,,86.103
36239,2S,WW,HEPHY,Left,,,85.292
36239,2S,WW,HEPHY,Right,,,85.817
